"","firstname","lastname","unow","uphd","yearphd","citecount"
"315","Adam","Berinsky","MIT","U of Michigan","2000","5888"
"316","Mona L.","Krook","Rutgers U","Columbia U","2005","5868"
"317","Quan","Li","Texas A&M","Florida State U","1998","5853"
"318","David R.","Cameron","Yale U","U of Michigan","1976","5842"
"319","Sharyn","O'Halloran","Columbia U","UC San Diego","1991","5809"
"320","Dan B.","Wood","Texas A&M","U of Houston","1987","5791"
"321","Michael","Coppedge","U of Notre Dame","Yale U","1988","5774"
"322","Richard","Tuck","Harvard U","Cambridge U","1979","5761"
"323","Zachary","Elkins","UT Austin","UC Berkeley","2003","5748"
"324","Matthew","Gabel","Washington U","U of Rochester","1994","5745"
"325","Ruth Berins","Collier","UC Berkeley","U of Chicago","1974","5744"
"326","M. Hakan","Yavuz","U of Utah","U of Wisconsin Madison","1998","5729"
"327","Simone","Chambers","UC Irvine","Columbia U","1989","5680"
"328","Peter D.","Feaver","Duke U","Harvard U","1990","5678"
"329","Amy Stuart","Wells","Teachers College Columbia U","Columbia U","1991","5674"
"330","Christian","Davenport","U of Michigan","SUNY Binghamton","1992","5644"
"331","William T.","Gormley","Georgetown U","UNC Chapel Hill","1976","5636"
"332","Thomas A","Birkland","North Carolina State U","U of Washington","1995","5606"
"333","David","Stasavage","New York U","Harvard U","1995","5596"
"334","Stanley","Rosen","U of Southern California","UCLA","1979","5594"
"335","Bernard","Harcourt","Columbia U","Harvard U","2000","5577"
"336","Robert","Luskin","UT Austin","U of Michigan","1983","5557"
"337","Richard","Matland","Loyola U Chicago","U of Michigan","1991","5539"
"338","David W.","Brady","Stanford U","U of Iowa","1970","5529"
"339","Eric","Schickler","UC Berkeley","Yale U","1997","5505"
"340","Liah","Greenfeld","Boston U","Hebrew U of Jerusalem","1982","5489"
"341","Kenneth","Roberts","Cornell U","Stanford U","1992","5465"
"342","Dan","Reiter","Emory U","U of Michigan","1994","5440"
"343","Jennifer","Gandhi","Emory U","New York U","2004","5436"
"344","Mark K.","Peffley","U of Kentucky","U of Minnesota","1984","5431"
"345","John","DiIulio","U of Pennsylvania","Harvard U","1986","5420"
"346","Ian","Lustick","U of Pennsylvania","UC Berkeley","1976","5413"
"347","Jacek","Kugler","Claremont Graduate U","U of Michigan","1973","5388"
"348","John","Londregan","Princeton U","Princeton U","1988","5379"
"349","John S.","Earle","George Mason U","Stanford U","1988","5366"
"350","Kenneth","Prewitt","Columbia U","Stanford U","1963","5352"
"351","Kim","Fridkin","Arizona State U","U of Michigan","1989","5347"
"352","Bradford","Jones","UC Davis","SUNY Stonybrook","1994","5343"
"353","Mark","Lichbach","U of Maryland","Northwestern U","1978","5332"
"354","Stephen","Holmes","New York U","Yale U","1976","5317"
"355","Susanne","Lohmann","UCLA","Carnegie Mellon U","1991","5314"
"356","Ashutosh","Varshney","Brown U","MIT","1991","5294"
"357","Markus","Prior","Princeton U","Stanford U","2004","5292"
"358","Stephen","Macedo","Princeton U","Princeton U","1987","5214"
"359","Steven S.","Smith","Washington U","U of Minnesota","1980","5212"
"360","Robert","Franzese","U of Michigan","Harvard U","1996","5178"
"361","Dustin","Tingley","Harvard U","U of Rochester","2001","5172"
"362","Jason","Wittenberg","UC Berkeley","MIT","1999","5170"
"363","Rick K.","Wilson","Rice U","Indiana U","1982","5168"
"364","Randall","Calvert","Washington U","Caltech","1980","5135"
"365","Richard C.","Fording","U of Alabama","Florida State U","1998","5134"
"366","Beatriz","Magaloni","Stanford U","Duke U","1997","5130"
"367","Karen J.","Alter","Northwestern U","MIT","1996","5106"
"368","Idean","Salehyan","U of Texas Dallas","UC San Diego","2006","5076"
"369","M. Steven","Fish","UC Berkeley","Stanford U","1993","5074"
"370","Eric","Oliver","U of Chicago","UC Berkeley","1997","5072"
"371","Peverill","Squire","U of Missouri","UC Berkeley","1986","5057"
"372","Jennifer K.","Lobasz","U of Delaware","U of Minnesota","2012","5029"
"373","Elisabeth","Wood","Yale U","Stanford U","1995","4995"
"374","Peter","Lange","Duke U","MIT","1975","4987"
"375","Nancy","Burns","U of Michigan","Harvard U","1991","4975"
"376","Jonathan","Nagler","New York U","Caltech","1989","4957"
"377","Audie","Klotz","Syracuse U","Cornell U","1991","4939"
"378","Jon C. W.","Pevehouse","U of Wisconsin Madison","Ohio State U","2000","4886"
"379","Kenneth D.","Wald","U of Florida","Washington U","1976","4882"
"380","T. J.","Pempel","UC Berkeley","Columbia U","1972","4866"
"381","Kathleen","McGraw","Ohio State U","Northwestern U","1985","4860"
"382","Bruce","Dickson","George Washington U","U of Michigan","1994","4843"
"383","Richard","Ashley","Arizona State U","Arizona State U","1977","4798"
"384","Robert M.","Stein","Rice U","U of Wisconsin Milwaukee","1977","4776"
"385","Stefan","Toepler","George Mason U","Free U of Berlin","1995","4760"
"386","Milada","Vachudova","UNC Chapel Hill","U of Oxford","1997","4740"
"387","Patrick","Regan","U of Notre Dame","U of Michigan","1992","4720"
"388","Paul","Herrnson","U of Connecticut","U of Wisconsin Madison","1986","4711"
"389","Elizabeth","Theiss-Morse","U of Nebraska Lincoln","U of Minnesota","1989","4709"
"390","Amitava Krishna","Dutt","U of Notre Dame","MIT","1983","4697"
"391","James F.","Adams","UC Davis","U of Michigan","1994","4693"
"392","Kevin","Smith","U of Nebraska Lincoln","U of Wisconsin Milwaukee","1994","4652"
"393","Ben Ross","Schneider","MIT","UC Berkeley","1987","4630"
"394","Margaret","Weir","UC Berkeley","U of Chicago","1986","4616"
"395","Lawrence M.","Mead","New York U","Harvard U","1973","4612"
"396","Beth","Leech","Rutgers U","Texas A&M","1998","4602"
"397","Arthur A.","Stein","UCLA","Yale U","1978","4601"
"398","Leonard","Wantchekon","Princeton U","Northwestern U","1995","4595"
"399","Barry","Ames","U of Pittsburgh","Stanford U","1972","4572"
"400","Christine","DiStefano","U of Washington","U of Massachusetts Amherst","1984","4560"
